ds,y,yhat_prophet,train
2016-05-27,485.054,449.103367468543,True
2016-05-28,476.111,427.5418135733389,True
2016-05-29,462.786,411.1330433903694,True
2016-05-30,451.765,437.502457685538,True
2016-05-31,495.695,456.7209481490151,True
2016-06-01,479.331,453.9006084257509,True
2016-06-02,462.879,432.9006587215756,True
2016-06-03,445.578,423.6486240515326,True
2016-06-04,433.422,416.02907690665035,True
2016-06-05,412.618,392.86879151538005,True
2016-06-06,465.961,456.8690906201493,True
2016-06-07,472.114,466.9967309113971,True
2016-06-08,411.017,435.86899744612515,True
2016-06-09,395.074,444.3926339594479,True
2016-06-10,403.299,445.17243784372255,True
2016-06-11,407.713,438.6042739072734,True
2016-06-12,420.258,436.6819183786405,True
2016-06-13,415.198,441.83776807972544,True
2016-06-14,425.009,461.849921757673,True
2016-06-15,454.231,475.4175436881842,True
2016-06-16,467.317,461.6092450534543,True
2016-06-17,456.86,457.1425583447158,True
2016-06-18,430.656,440.6674780155828,True
2016-06-19,442.78,436.1710405075167,True
2016-06-20,512.384,477.4312731960762,True
2016-06-21,512.687,502.19601177367707,True
2016-06-22,488.62,496.874100624149,True
2016-06-23,479.499,489.887890325918,True
2016-06-24,482.362,484.60612923433223,True
2016-06-25,451.572,452.3205008641812,True
2016-06-26,462.513,455.6783049977761,True
2016-06-27,511.878,488.3997497344902,True
2016-06-28,494.977,488.45139185317873,True
2016-06-29,495.618,503.56143833915445,True
2016-06-30,493.209,509.53130463662467,True
2016-07-01,484.244,496.8214306043631,True
2016-07-02,414.657,461.1958357380007,True
2016-07-03,402.513,461.9446078111584,True
2016-07-04,431.188,504.7822156200089,True
2016-07-05,529.332,528.0831287570766,True
2016-07-06,582.571,551.2958052614654,True
2016-07-07,597.873,548.6917079550234,True
2016-07-08,561.883,530.293687669415,True
2016-07-09,449.771,470.6865517103107,True
2016-07-10,436.477,479.6884266623207,True
2016-07-11,479.585,516.970665120212,True
2016-07-12,510.704,533.9095981896178,True
2016-07-13,554.723,541.8818655532064,True
2016-07-14,581.221,553.4490734070566,True
2016-07-15,593.663,562.6406785126054,True
2016-07-16,524.048,523.7791051012449,True
2016-07-17,516.595,522.4236710487195,True
