ds,y,temp,HDH,CDH,Day Type,train,yhat_hcdh,yhat_5p
2018-10-12,44.026,18.90833333333333,1.4000000000000004,45.19999999999999,Working Day,False,50.925968131455946,46.75792293149292
2018-10-13,41.14,18.216666666666665,4.6,37.3,Non-Working Day,False,45.91210089114905,40.714964622210324
2018-10-14,39.724,18.154166666666665,14.0,32.9,Non-Working Day,False,45.58911113477017,40.55978605516692
2018-10-15,42.721,17.704166666666666,2.6,29.4,Working Day,False,48.2476999323971,43.63282599939942
2018-10-16,43.165,15.7625,27.5,19.0,Working Day,False,47.33940365096531,42.978613885857335
2018-10-17,43.378,16.0,17.599999999999998,21.9,Working Day,False,47.48787345240679,42.978613885857335
2018-10-18,43.389,16.520833333333332,8.1,23.1,Working Day,False,47.35777706168519,42.978613885857335
2018-10-19,43.415,16.891666666666666,12.599999999999998,31.0,Working Day,False,48.87768721760226,42.978613885857335
2018-10-20,40.716,17.2375,7.299999999999999,28.800000000000004,Non-Working Day,False,44.70455061829515,39.393800845255655
2018-10-21,40.017,17.662499999999998,3.6,27.2,Non-Working Day,False,44.31838285939907,39.393800845255655
2018-10-22,42.702,15.691666666666668,4.199999999999999,10.5,Working Day,False,45.04978166532493,42.978613885857335
2018-10-23,42.183,14.629166666666668,4.200000000000001,0.0,Working Day,False,43.24165259644821,42.978613885857335
2018-10-24,42.383,15.058333333333332,20.3,9.499999999999996,Working Day,False,45.44826409447637,42.978613885857335
2018-10-25,42.822,17.545833333333334,7.299999999999999,23.0,Working Day,False,47.31219975638578,43.22191360002382
2018-10-26,43.114,17.416666666666668,2.200000000000001,19.000000000000007,Working Day,False,46.442612626140345,42.978613885857335
2018-10-27,40.894,18.258333333333333,0.0,20.40000000000001,Non-Working Day,False,43.13489813004716,40.81841700023927
2018-10-28,40.274,17.891666666666666,0.0,12.8,Non-Working Day,False,41.96407128953278,39.90803607358459
2018-10-29,41.591,15.645833333333334,6.699999999999999,2.6000000000000014,Working Day,False,43.77799550837129,42.978613885857335
2018-10-30,41.754,17.775000000000002,0.0,9.599999999999994,Working Day,False,44.74592477432886,43.81665523069905
2018-10-31,41.398,14.979166666666666,17.099999999999998,5.299999999999997,Working Day,False,44.61158435311383,42.978613885857335
2018-11-01,42.376,16.733333333333334,11.099999999999998,24.1,Working Day,False,47.63631868684825,42.978613885857335
2018-11-02,42.928,16.808333333333334,5.1,17.000000000000004,Working Day,False,46.20100131735344,42.978613885857335
2018-11-03,40.407,18.879166666666663,0.0,27.700000000000006,Non-Working Day,False,44.25950812159387,42.35985743287046
2018-11-04,41.812,16.570833333333333,5.1,15.600000000000003,Non-Working Day,False,42.587957540739886,39.393800845255655
2018-11-05,42.905,16.55,5.699999999999999,17.1,Working Day,False,46.239489365539605,42.978613885857335
2018-11-06,42.644,13.35,28.2,3.6000000000000014,Working Day,False,44.712293416509134,43.20735970341327
2018-11-07,42.18,13.241666666666667,42.4,1.8000000000000007,Working Day,False,44.90566568831323,43.27474587570809
2018-11-08,42.156,15.466666666666669,3.2,1.6000000000000014,Working Day,False,43.48173074042513,42.978613885857335
2018-11-09,42.694,9.1,81.4,0.0,Working Day,False,45.97810584215919,45.85097107805641
