ds,y,yhat_prophet,train
2017-05-11,43.65,45.4337283905238,True
2017-05-12,42.41,45.6510447281086,True
2017-05-13,39.46,43.79294117967128,True
2017-05-14,39.132,43.31335509599395,True
2017-05-15,43.192,46.974292904129015,True
2017-05-16,42.363,46.04988347066472,True
2017-05-17,43.112,47.927118639887446,True
2017-05-18,45.632,50.911796594327505,True
2017-05-19,50.948,52.21135240106431,True
2017-05-20,52.347,50.99176671163808,True
2017-05-21,55.389,52.261916315743726,True
2017-05-22,62.635,56.32962625669123,True
2017-05-23,63.992,55.18876015883111,True
2017-05-24,51.301,47.790977709512816,True
2017-05-25,45.428,46.71724507830347,True
2017-05-26,43.904,46.36759888140756,True
2017-05-27,41.706,44.26203374341632,True
2017-05-28,44.574,44.03314291449228,True
2017-05-29,46.115,49.36547891231325,True
2017-05-30,46.294,48.54866586842118,True
2017-05-31,47.086,50.214340964579286,True
2017-06-01,51.823,52.145384201768394,True
2017-06-02,55.254,54.5664036421445,True
2017-06-03,51.977,50.23547519148896,True
2017-06-04,49.007,49.319540024576696,True
2017-06-05,54.821,56.30266050763737,True
2017-06-06,56.359,55.40229361714033,True
2017-06-07,49.779,51.70992369210124,True
2017-06-08,45.899,50.81580454934518,True
2017-06-09,46.951,51.31317371021525,True
2017-06-10,41.997,49.02517446413365,True
2017-06-11,40.06,48.84138689758899,True
2017-06-12,44.558,52.758646300967364,True
2017-06-13,48.955,56.34186153833204,True
2017-06-14,55.455,59.741666480761545,True
2017-06-15,59.225,61.56251779855906,True
2017-06-16,68.339,66.24020527356275,True
2017-06-17,69.379,65.76241491793726,True
2017-06-18,75.216,70.84544763723773,True
2017-06-19,83.565,70.57824346165424,True
2017-06-20,81.962,68.61897082303541,True
2017-06-21,79.799,69.98826034645383,True
2017-06-22,83.947,73.0801316521197,True
2017-06-23,76.525,64.26050469644288,True
2017-06-24,65.114,58.7864717174753,True
2017-06-25,58.144,55.3747324576171,True
2017-06-26,54.203,57.75229115840615,True
2017-06-27,54.814,59.13181053099125,True
2017-06-28,56.133,60.273142480410996,True
2017-06-29,58.561,61.24060900029123,True
2017-06-30,57.855,60.66474180192349,True
2017-07-01,53.148,57.12206719950373,True
2017-07-02,55.694,57.68272123284313,True
2017-07-03,58.145,62.22875678179982,True
2017-07-04,56.903,63.481857448479005,True
2017-07-05,58.842,62.39782689541146,True
2017-07-06,66.356,67.38509138865341,True
2017-07-07,73.597,72.63491322365847,True
2017-07-08,71.286,66.82769742113538,True
2017-07-09,66.569,63.59355715970137,True
2017-07-10,70.202,64.84202491140482,True
2017-07-11,65.443,62.87599742409654,True
2017-07-12,64.329,64.11467062774271,True
2017-07-13,65.313,63.73592602638301,True
2017-07-14,65.643,64.26199751268838,True
2017-07-15,65.894,65.9275041956484,True
2017-07-16,72.321,68.95219782381294,True
2017-07-17,73.072,68.0448645116105,True
2017-07-18,62.657,62.01940812253505,True
2017-07-19,61.735,64.14163887952532,True
2017-07-20,62.093,63.34642151946716,True
2017-07-21,63.604,64.45430151015154,True
2017-07-22,64.526,65.27791152537402,True
2017-07-23,67.864,64.88331925910083,True
2017-07-24,64.065,62.87989579125117,True
2017-07-25,61.829,63.8986323281322,True
