ds,y,temp,HDH,CDH,Day Type,train,yhat_hcdh,yhat_5p
2016-09-10,80.06,22.933333333333334,0.0,190.4,Non-Working Day,True,78.67612098323636,78.8223587682861
2016-09-11,74.365,21.23333333333333,0.0,149.6,Non-Working Day,True,74.01261954609475,73.73734246983777
2016-09-12,78.757,18.606944444444444,0.8000000000000007,86.56666666666666,Working Day,True,74.68756400099592,73.85850476121126
2016-09-13,75.803,17.753125,0.4000000000000003,66.075,Working Day,True,72.10210323865806,72.6857470968934
2016-09-14,74.839,18.066666666666663,20.8,86.4,Working Day,True,76.15018984866708,72.6857470968934
2016-09-15,77.2,19.67083333333333,13.199999999999998,118.3,Working Day,True,79.56517269690526,77.30753401201073
2016-09-16,80.072,20.4625,5.1,132.8,Working Day,True,80.77288122184123,79.8740440289242
2016-09-17,78.647,22.554166666666664,3.5,182.4,Non-Working Day,True,78.02950043079383,77.68820072132824
2016-09-18,84.609,26.254166666666663,0.4000000000000003,270.1,Non-Working Day,True,87.81655573865399,88.75558913559816
2016-09-19,90.585,25.5125,0.0,252.3,Working Day,True,95.29906978989523,96.24567634734049
2016-09-20,96.458,25.554166666666664,0.0,253.3,Working Day,True,95.42379329540313,96.38075582191487
2016-09-21,98.734,24.141666666666666,0.0,219.4,Working Day,True,91.19566645868527,91.801561633843
2016-09-22,83.688,20.935416666666665,0.0,142.45,Working Day,True,81.59819270985224,81.40719606534353
2016-09-23,79.52,20.513194444444444,5.4,134.51666666666665,Working Day,True,81.00924110277529,80.0383907229897
2016-09-24,78.559,24.1125,3.0,218.7,Non-Working Day,True,82.14038916405784,82.34946566157258
2016-09-25,83.921,27.8875,0.0,309.3,Non-Working Day,True,92.2665700243181,93.64119303018576
2016-09-26,106.033,29.585416666666664,0.0,350.05,Working Day,True,107.49079245329258,109.44969498698728
2016-09-27,105.938,27.77083333333333,0.0,306.5,Working Day,True,102.0590837884235,103.56698386927252
2016-09-28,104.64,27.0875,0.0,290.1,Working Day,True,100.0136182980939,101.35168048625249
2016-09-29,102.832,27.266666666666666,0.0,294.4,Working Day,True,100.54992937177786,101.93252222692237
2016-09-30,97.573,26.0625,0.0,265.5,Working Day,True,96.94542006259952,98.02872541172246
2016-10-01,81.347,22.941666666666663,0.0,190.6,Non-Working Day,True,78.69898128439881,78.84728531876867
2016-10-02,69.841,19.1625,0.7999999999999989,99.9,Non-Working Day,True,68.39304419157936,67.5430946749142
2016-10-03,74.578,19.65,9.7,115.5,Working Day,True,78.95634958923003,77.23999427472356
2016-10-04,75.582,18.5875,7.199999999999999,89.5,Working Day,True,75.52811180870096,73.79546767307656
2016-10-05,74.86,17.935416666666665,11.45,76.5,Working Day,True,74.22193152054842,72.6857470968934
2016-10-06,76.605,21.1125,17.4,156.7,Working Day,True,84.6660720591124,81.9812838322847
2016-10-07,80.718,23.791666666666668,2.6,211.6,Working Day,True,90.41566681854022,90.66689404741811
2016-10-08,76.116,23.70833333333333,1.4000000000000004,209.0,Non-Working Day,True,80.90924558896735,81.14052796316695
2016-10-09,73.701,24.03333333333333,1.200000000000001,216.8,Non-Working Day,True,81.78549496321435,82.11266343198797
2016-10-10,81.983,22.98333333333333,0.0,191.6,Non-Working Day,True,78.8132827902111,78.97191807118166
2016-10-11,75.918,17.674305555555556,5.200000000000001,64.18333333333332,Working Day,True,72.22218708440033,72.6857470968934
2016-10-12,72.76,16.538888888888888,17.366666666666664,44.1,Working Day,True,70.61973298375838,72.6857470968934
2016-10-13,74.15,17.73611111111111,24.18333333333333,80.85,Working Day,True,75.70891844227623,72.6857470968934
2016-10-14,74.412,17.80763888888889,12.749999999999998,71.33333333333333,Working Day,True,73.67394859349923,72.6857470968934
2016-10-15,69.421,18.8,5.000000000000002,91.2,Non-Working Day,True,67.71997088387941,66.45878972892154
2016-10-16,67.902,19.42708333333333,0.0,106.25,Non-Working Day,True,69.05764926913182,68.33451265273642
2016-10-17,74.983,18.196875,0.8666666666666654,76.72500000000001,Working Day,True,73.46502154461761,72.6857470968934
2016-10-18,74.225,18.152083333333334,18.4,85.65,Working Day,True,75.87863764770546,72.6857470968934
2016-10-19,79.131,23.120833333333334,14.199999999999998,201.1,Working Day,True,89.96644960788896,88.49211450677038
2016-10-20,86.221,25.175,1.5999999999999996,244.8,Working Day,True,94.4823165464731,95.1515326032879
2016-10-21,85.661,24.53333333333333,0.0,228.8,Working Day,True,92.36806741045953,93.07130869484226
2016-10-22,72.213,21.0875,6.6,148.9,Non-Working Day,True,74.43758673796,73.30112783639247
2016-10-23,66.605,19.9875,2.6000000000000014,119.7,Non-Working Day,True,70.79393534646293,70.01082317269059
2016-10-24,76.275,19.36875,0.0,104.85,Working Day,True,76.90858890275516,76.32820782134641
2016-10-25,74.742,18.28333333333333,13.099999999999998,84.5,Working Day,True,75.34210114524525,72.8093875086835
2016-10-26,76.035,20.08333333333333,6.800000000000001,124.2,Working Day,True,79.82634918785335,78.6448208102972
2016-10-27,76.063,21.558333333333334,0.0,157.4,Working Day,True,83.46280911719538,83.4266342102307
