,"Electricity demand, daily sum, (GWh)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,yhat_rf,yhat_svm,yhat_nn
2015-12-22,44.749,13.359027777777778,17.2,False,43.258208058076,45.843061361562924,45.94424642316194
2015-12-23,44.781,8.952777777777778,14.4,False,46.14753129104033,46.746430754488976,46.80504050813966
2015-12-24,45.551,7.179166666666667,11.1,False,47.168588683889304,48.181837545515194,47.81818400780826
2015-12-25,43.626,4.9375,11.1,True,46.77777079320985,44.12651203778431,45.36789230158215
2015-12-26,44.644,4.979166666666667,12.2,False,45.303591732937896,45.775699215414036,46.19485196772649
2015-12-27,46.988,3.7541666666666655,7.2,False,46.997869508482566,47.488127616556305,46.80131962922755
2015-12-28,47.87,5.229166666666667,10.0,False,47.580064655243945,49.583909945421226,48.92293210105051
2015-12-29,49.509,3.721944444444445,10.0,False,48.992140823015895,49.924044083793774,49.89089450582261
2015-12-30,49.026,4.576388888888888,9.4,False,48.7125748742639,49.38551222457059,49.515812829234086
2015-12-31,48.211,3.2279513888888887,11.1,False,48.83960833055048,49.473989039804806,49.769680946190014
2016-01-01,46.376,4.1875,9.4,True,48.03917907479234,46.87628507646706,45.9122617547971
2016-01-02,45.532,5.779166666666666,10.0,False,45.60930520293596,46.03185600991393,45.554433053444825
2016-01-03,42.941,7.983333333333333,13.3,False,43.70666198246116,43.54830650383591,43.95638990031147
2016-01-04,47.084,8.579166666666667,12.2,False,46.532360059505116,47.430743496512044,47.11755575784237
2016-01-05,46.344,10.212152777777778,12.1,False,46.16967316552713,46.83272296205615,46.854305905409056
2016-01-06,47.51,9.447916666666666,11.05,False,46.72058703905474,47.261187005274415,47.1591762879163
2016-01-07,46.835,7.748472222222222,11.05,False,47.39751682507422,47.65116809509402,47.576736719085694
2016-01-08,47.666,6.232361111111112,11.1,False,47.394673816449874,47.980768978543466,47.53911495681426
2016-01-09,44.649,9.422916666666667,11.7,False,44.79884705918301,44.030156806044914,43.833631439197596
2016-01-10,43.337,9.743402777777778,13.9,False,43.078890755241176,42.83728634339738,43.107373532693146
2016-01-11,46.421,10.113541666666666,15.6,False,45.64055650660728,46.06533352543569,45.88560183973465
2016-01-12,46.993,9.14030303030303,14.4,False,46.081506812245316,46.49302716934766,46.54660961462366
2016-01-13,46.522,11.314583333333331,15.6,False,45.29772918588082,45.54459157560426,45.82581687161147
2016-01-14,48.794,8.239880952380952,11.7,False,47.29123841808796,47.268620819046625,47.257213412700395
2016-01-15,45.866,9.407638888888888,12.8,False,45.91093877756348,46.36575405362966,46.23403773625554
2016-01-16,42.713,11.788194444444445,15.0,False,42.17140848672001,42.473296994120936,43.089336698543484
2016-01-17,42.063,12.607638888888888,13.9,False,41.77201786868101,42.26542733582727,43.144595261280294
2016-01-18,43.136,13.90486111111111,16.7,True,43.32856607466033,43.636454889305924,43.87647532894048
2016-01-19,45.14,12.955555555555556,15.0,False,45.43844828638005,45.63991707377872,46.28584226336574
2016-01-20,44.384,10.93388888888889,15.0,False,45.48580632249586,45.75839216616204,45.96749906465428
2016-01-21,44.163,12.848611111111111,17.2,False,43.2133827614392,44.839350570420976,45.08613821185664
2016-01-22,44.769,12.902083333333335,14.4,False,45.594226403244754,45.24518863451253,46.17548767027644
2016-01-23,41.708,11.82263888888889,14.4,False,42.32152511830567,42.61344619148162,43.284478821344386
2016-01-24,41.996,9.546875,14.4,False,42.65353208769989,42.76863928298884,43.10524711366741
2016-01-25,44.468,10.59361111111111,15.6,False,45.326007420701565,45.951244538997535,45.90417288672513
2016-01-26,45.238,9.589136904761904,15.6,False,45.51523865674943,46.08081281343078,46.15112087022912
2016-01-27,44.818,10.696805555555557,17.2,False,43.2133827614392,45.318332522145944,45.57818994152921
2016-01-28,46.372,10.09013888888889,13.9,False,45.97911642499771,46.05648414683154,46.09643095947872
2016-01-29,45.173,13.178472222222224,15.0,False,45.411419041987614,45.09701627437902,46.02037342395548
2016-01-30,41.057,11.941666666666668,15.6,False,42.05844584039411,42.30531949926515,42.91839373431157
2016-01-31,42.279,9.9625,13.3,False,42.92084405474724,42.93075797575504,43.11702303950487
2016-02-01,46.429,7.899999999999999,13.3,False,46.07807495505058,45.949689162865894,45.68402745355805
2016-02-02,47.354,6.862500000000001,9.4,False,46.89980634610065,47.705412093667576,46.83384855565637
2016-02-03,47.129,7.463888888888889,11.7,False,46.70330299794059,46.86709339093214,46.35596775054567
2016-02-04,45.04,9.1375,14.4,False,45.47707517301147,45.31297013132067,44.88145143020617
2016-02-05,44.373,8.578333333333333,15.6,False,45.36597260889332,44.87266028584847,44.24139805368764
2016-02-06,41.147,10.234375,17.8,False,40.73234774834489,41.295826058151235,41.26225437159994
2016-02-07,39.933,11.643055555555556,21.1,False,39.569606810391726,39.807654778656456,39.67329994321205
2016-02-08,42.914,13.186428571428571,23.3,False,43.13415857107531,42.87413150115373,43.44628174831991
2016-02-09,42.879,13.619444444444444,22.8,False,43.13415857107531,43.38720451918976,43.56602203399972
2016-02-10,42.968,12.583159722222222,20.6,False,43.13415857107531,43.71960441593241,43.179317295968296
2016-02-11,43.074,13.033333333333331,21.1,False,43.13415857107531,43.56893044231949,42.98500345822447
2016-02-12,42.841,13.28527777777778,20.6,False,43.13415857107531,43.38633473459481,43.03355913104374
2016-02-13,39.894,13.914027777777775,22.2,False,40.147369150070105,40.393958888390344,40.50994848648287
2016-02-14,39.301,16.204166666666666,23.9,False,39.35754005392146,39.974474847027324,41.37898299987709
2016-02-15,41.417,15.886111111111113,25.0,True,43.13415857107531,42.420579571702525,43.15811982085039
2016-02-16,43.04,15.515277777777778,23.9,False,43.13415857107531,43.81241547764263,44.59147492283308
2016-02-17,43.596,16.166666666666668,20.0,False,43.215105388166705,44.683883673615114,46.22347802946814
2016-02-18,43.639,11.826388888888888,15.6,False,45.227727591781104,44.91348828426719,44.242410282497616
2016-02-19,43.957,11.274305555555555,16.7,False,43.372868324256515,44.35237575200948,44.0141864321812
2016-02-20,40.643,10.253819444444444,15.6,False,41.88807365908812,42.038665302223556,41.62667498990451
2016-02-21,40.238,10.688095238095238,18.3,False,39.81499926615863,40.70129297126064,40.42103580422173
2016-02-22,43.381,12.1725,20.6,False,43.13415857107531,43.27551504440005,43.29763411672333
2016-02-23,43.558,12.158333333333331,20.6,False,43.13415857107531,43.53970021372273,43.18261088019122
2016-02-24,43.339,13.341666666666669,21.1,False,43.13415857107531,43.74018323310818,43.206462174887484
2016-02-25,43.226,14.395833333333334,22.2,False,43.13415857107531,43.72583432063135,43.44549230718322
2016-02-26,42.672,14.254166666666668,20.6,False,43.13415857107531,43.58513569369879,43.158328776407544
2016-02-27,39.419,13.153611111111111,18.9,False,40.14854657294486,40.98642667609825,40.8049364193949
2016-02-28,39.813,12.7375,20.0,False,39.70059673293876,40.1122287393614,40.00182788359546
2016-02-29,42.835,14.76086956521739,22.8,False,43.13415857107531,43.33468235335609,43.44646198064227
2016-03-01,42.718,15.633333333333333,21.7,False,43.11059623219342,42.824154918978365,42.40425988747776
2016-03-02,42.626,15.040416666666664,21.7,False,43.11059623219342,42.970098253792294,42.194728281951136
2016-03-03,42.78,15.816666666666668,18.6,False,43.11059623219342,43.107515043403204,42.52659319767876
2016-03-04,43.007,16.427777777777777,20.0,False,43.19154304928481,42.822017785581004,42.3447162099694
2016-03-05,40.764,15.789097222222225,17.866666666666664,False,39.98834996585615,40.2988950323882,40.22521659064966
2016-03-06,39.663,12.26875,15.0,False,41.275853367387356,39.88531149368684,39.99720083492988
2016-03-07,44.551,9.394146825396826,12.8,False,45.317231775285876,45.05134028657453,44.7670548075778
2016-03-08,44.534,9.5375,14.4,False,45.232704851600666,44.46501148748076,44.47585988645738
2016-03-09,43.588,13.958333333333334,18.9,False,43.11059623219342,43.160565760465865,42.40755424744069
2016-03-10,44.119,14.567708333333334,17.2,False,43.2133827614392,43.257269105554286,42.78294469469896
2016-03-11,44.597,12.039583333333333,14.4,False,45.35553956344412,43.888732677011106,43.468876404436344
2016-03-12,41.709,11.904672619047618,15.0,False,41.953516269616486,41.04475128734616,40.534455673654435
2016-03-13,40.565,12.444855072463769,13.6,False,41.467555027161424,40.324625088718236,40.464860787764565
2016-03-14,43.006,13.0375,16.7,False,43.32856607466033,43.150202882940945,43.19193970773488
2016-03-15,43.205,12.183333333333332,18.9,False,43.11059623219342,42.96657281521453,42.61712162631949
2016-03-16,43.051,13.545833333333334,21.1,False,43.11059623219342,42.88131720378762,41.92992698854841
2016-03-17,43.066,15.241666666666667,24.4,False,43.11059623219342,42.566123745596286,42.793447427189356
2016-03-18,42.8,14.91875,22.2,False,43.11059623219342,42.377106222548065,41.88738340983807
2016-03-19,39.454,15.070833333333333,21.7,False,40.017357384867545,39.77811134675075,39.35354541929011
2016-03-20,39.257,15.079166666666666,19.4,False,39.59102988351624,38.659948822215966,38.96060071243442
2016-03-21,42.903,13.358333333333334,17.2,False,43.2133827614392,43.01222850688836,43.08003417357284
2016-03-22,42.664,12.020833333333334,17.8,False,43.11059623219342,43.16372950340974,42.879873904619025
2016-03-23,42.304,13.633333333333333,20.6,False,43.11059623219342,42.935708356020235,41.873680090690264
2016-03-24,41.951,14.425,22.2,False,43.11059623219342,42.53390373242231,42.19935131119297
2016-03-25,40.748,15.075,22.8,False,43.11059623219342,42.36395952712327,42.03647003781538
2016-03-26,38.254,16.941666666666666,23.9,False,40.03536184024638,40.11448684249972,39.86841721490425
2016-03-27,37.049,15.381944444444445,20.6,False,39.190348853583224,38.51372929597542,38.71802473465898
2016-03-28,40.743,11.7875,16.7,False,43.32856607466033,43.306837732521274,43.11995791189666
2016-03-29,41.439,12.633333333333333,18.9,False,43.11059623219342,42.926921515311406,42.44146144763937
2016-03-30,41.503,13.245833333333335,21.7,False,43.11059623219342,42.81608497373909,42.189152998269215
2016-03-31,41.107,14.4125,22.2,False,43.11059623219342,42.532593952907675,42.196918226744444
2016-04-01,40.548,14.866666666666667,21.7,False,42.20597540013896,41.11821065391071,41.05731171260317
2016-04-02,37.933,16.04583333333333,23.9,False,38.9394333030713,38.2348819564263,39.91889340870846
2016-04-03,37.562,15.858333333333334,24.4,False,38.690371519545984,38.17259200075172,39.18880223369804
2016-04-04,41.633,16.833333333333332,25.6,False,42.826138485525064,42.13283917478756,44.139164038231506
2016-04-05,42.368,18.966666666666665,27.2,False,45.31180506733388,44.303470207813106,47.1459570076922
2016-04-06,44.73,20.279166666666665,30.6,False,46.33922576596862,46.09323339748196,49.59795433550257
2016-04-07,43.382,17.941666666666666,23.9,False,43.55384524240164,42.930618743591786,45.894074543276126
2016-04-08,41.977,16.945833333333333,22.8,False,42.83093309281543,41.77589046186316,44.25752742020175
2016-04-09,39.015,14.754722222222222,15.733333333333334,False,40.43803555803502,39.51516033940422,40.24689650988398
2016-04-10,38.166,14.629861111111111,17.8,False,38.522603904889046,38.66625857450437,39.22483464996013
2016-04-11,41.517,15.927083333333334,21.55,False,42.3343661666452,41.75602579647979,43.593276215956344
2016-04-12,41.334,15.11284722222222,19.6,False,42.28519856138765,42.007113801647996,43.053735959629414
2016-04-13,41.156,14.741666666666667,21.1,False,42.24063648346558,41.80037264058692,42.01211339581804
2016-04-14,40.792,14.505555555555556,20.0,False,42.2577139300994,41.52174139420953,41.39375021462271
2016-04-15,40.802,15.7875,23.9,False,42.245489185789594,41.30181777650783,41.942951082397215
2016-04-16,38.895,18.820833333333333,28.9,False,40.21391692280548,39.56444421655688,43.664230692704045
2016-04-17,40.436,19.654166666666665,29.4,False,43.62865587071965,40.6051337949746,44.33407802087812
2016-04-18,46.457,21.320833333333333,31.1,False,48.547259318561885,46.00827555933394,50.841962078151404
2016-04-19,46.178,20.4125,30.0,False,46.452181712346274,46.003340480727545,49.66344126146181
2016-04-20,44.232,18.541666666666668,26.1,False,45.563785440288946,43.88337497820711,46.85740399996358
2016-04-21,43.167,17.520833333333332,23.3,False,43.06796982616609,42.66670901428837,45.397341240692235
2016-04-22,41.308,14.657638888888888,17.2,False,42.30586333080189,41.770270192270274,42.59671971321167
2016-04-23,38.086,14.658333333333331,21.7,False,38.98062680877886,38.19810461921072,38.17577330455624
2016-04-24,37.92,16.220833333333335,23.3,False,38.38650503491191,38.2966448851133,39.77390420139939
2016-04-25,40.699,15.433333333333332,21.7,False,42.238885141518274,41.59016294264174,42.76401713840075
2016-04-26,41.404,15.604166666666666,21.7,False,42.227485368791,42.091921473252434,43.015935450963376
2016-04-27,41.311,13.849826388888888,21.7,False,42.200317317589324,41.50721799123616,40.210611260578155
2016-04-28,41.933,17.465810185185187,27.2,False,43.01094964426164,42.970406410355885,44.43687084743289
2016-04-29,41.754,17.308333333333334,25.0,False,42.97594534339584,41.97334176654894,44.05932843926232
2016-04-30,39.309,20.7875,28.3,False,45.60789518978966,40.558815442847596,46.479634364398855
2016-05-01,41.44,20.910416666666663,29.4,False,44.43211020286129,43.96283116869511,45.673721320581855
2016-05-02,45.817,20.14166666666667,28.3,False,46.23846797296076,45.932669532404034,48.27010090251605
2016-05-03,45.732,20.00208333333333,28.9,False,46.36140532221295,47.40061532218555,48.42452287370523
2016-05-04,45.071,18.70833333333333,25.6,False,46.211951357002874,45.57134249240099,46.79141053677859
2016-05-05,42.443,15.808333333333332,17.8,False,43.11059623219342,42.85799329393214,44.11846458665497
2016-05-06,41.762,15.311805555555557,18.3,False,43.11059623219342,42.261727049458116,42.67612592482836
2016-05-07,38.872,15.02777777777778,17.8,False,39.87220029674993,39.29699308690206,39.20459795991236
2016-05-08,38.316,16.908333333333335,22.2,False,39.24487721250678,39.13761360979284,40.57746063573723
2016-05-09,43.469,17.29375,23.9,False,43.86328319998428,42.96879862114671,44.39656683883609
